Заболели;Умерли;Вылечились;Активные случаи
Синт-Мартен;4403;69;0;4334
Коморы;4166;147;0;4019
Сент-Винсент и Гренадины;4096;38;0;4058
Доминика;4020;26;0;3994
Сен-Мартен;3819;55;0;3764
Антигуа и Барбуда;3750;93;0;3657
Сан-Томе и Принсипи;3629;56;0;3573
Лихтенштейн;3567;60;0;3507
Монако;3336;35;0;3301
о-ва Тёркс и Кайкос;2898;23;0;2875
Виргинские о-ва ;2725;37;0;2688
Бутан;2613;3;0;2610
Сент-Китс и Невис;2412;19;0;2393
Сен-Бартелеми;1649;6;0;1643
Фарерские о-ва;1301;2;0;1299
Острова Кайман;983;2;0;981
Лайнер «Даймонд Принсесс»;712;13;0;699
Гренландия;623;0;0;623
Ангилья;594;1;0;593
Фолклендские о-ва;68;0;0;68
Монтсеррат;41;1;0;40
Сен-Пьер и Микелон;32;0;0;32
Ватикан;27;0;0;27
Соломоновы Острова;20;0;0;20
Палау;5;0;0;5
Вануату;4;1;0;3
Маршалловы Острова;4;0;0;4
Самоа;3;0;0;3
Кирибати;2;0;0;2
Федеративные Штаты Микронезии;1;0;0;1
Всего;238417612;4862245;6894285;226661082
